name,copi01_name,code
同行,同行,AGENT
診所,診所,CLINIC
國泰體系,國泰體系,CGH
奇美體系,奇美體系,CMH
澄清體系,澄清體系,CCH2
長庚體系,長庚體系,CGMH
基督教,基督教,CHR
成大體系,成大體系,NCKU
天主教體系,天主教體系,CATH
中國體系,中國體系,CMU
長安體系,長安體系,CAH
義大體系,義大體系,EDAH
高醫體系,高醫體系,KMU
高雄市立,高雄市立,KCG
光田體系,光田體系,KTGH
林新體系,林新體系,LSC
李綜合體系,李綜合體系,LSH
無,無,NONE
署立體系,署立體系,MOH
馬偕體系,馬偕體系,MMH
敏盛體系,敏盛體系,MSCH
台大體系,台大體系,NTU
秀傳體系,秀傳體系,SHTM
慈濟體系,慈濟體系,TZUCHI
天成,天成,TNH
市聯合,市聯合,TPECH
北醫體系,北醫體系,TMU
宮廟,宮廟,TEMPLE
國軍體系,國軍體系,AFMS
童綜合體系,童綜合體系,TTH
大學類,大學類,UNIV
榮民體系,榮民體系,VGH
動物醫院,動物醫院,VET
