id,name_full,name_short,tax_id,parent_code,system_prefix,is_standalone,is_distributor,customer_type,region_code,region_name,invoice_company,is_priority,sales_person,sales_person_code,business_department,primary_secretary,co_secretary,payment_terms,payment_cycle_day,shipping_address,notes
C02,星采整形外科診所,星采,31812094,,OTHER,true,false,,N,北,,false,,0003,業務銷售部,,,60天收款,,,
CACN,國泰綜合醫院,台北國泰,04129719,,CGH,true,false,醫學中心,N,北,,false,王思閔,0069,北區業務一課,關雅婷,,120天收款,,,
CAHN,國泰綜合醫院,新竹國泰,04129719,,CGH,true,false,地區醫院,N,北,,false,王思閔,0093,北區業務一課,關雅婷,,90天收款,30,,
CAXN,國泰綜合醫院,汐止國泰,04129719,,CGH,true,false,區域醫院,N,北,,false,王思閔,0069,北區業務一課,關雅婷,,90天收款,30,,
CBJS,奇美醫療財團法人佳里奇美醫院,佳里奇美,36802519,,CMH,true,false,地區醫院,S,南,,false,柯沐柔,0045,南區業務一課,魏伶華,,90天收款,30,,
CBLS,奇美醫療財團法人柳營奇美醫院,柳營奇美,99530712,,CMH,true,false,地區醫院,S,南,,false,柯沐柔,0045,南區業務一課,魏伶華,,90天收款,30,,
CBMS,奇美醫療財團法人奇美醫院,奇美,06606103,,CMH,true,false,醫學中心,S,南,,false,柯沐柔,0045,南區業務一課,魏伶華,,120天收款,30,,
CCCM,澄清綜合醫院中港分院,中港澄清,52144507,,CCH2,true,false,區域醫院,M,中,,false,張緯棋,0098,中區業務一課,魏伶華,,210天收款,30,,
CCPM,澄清綜合醫院(平等),平等澄清,52144507,,CCH2,true,false,區域醫院,M,中,,false,張緯棋,0098,中區業務一課,魏伶華,,180天收款,30,,
CCTM,太平澄清醫院,太平澄清,74867392,,CCH2,true,false,區域醫院,M,中,,false,張緯棋,0098,中區業務一課,魏伶華,,210天收款,30,,
CCWM,霧峰澄清醫院,霧峰澄清,97500635,,CCH2,true,false,區域醫院,M,中,,false,張緯棋,0098,中區業務一課,魏伶華,,180天收款,30,,
CGCS,長庚醫療財團法人嘉義長庚紀念醫院,嘉長,04122949,,CGMH,true,false,地區醫院,M,中,,false,黃婷瑜/蔡伊媄,0099,南區業務一課,楊斯閔,,15天收款,30,,
CGKN,長庚醫療財團法人基隆長庚紀念醫院,基長,04122949,,CGMH,true,false,地區醫院,N,北,,false,莊新力,0087,北區業務一課,楊斯閔,,15天收款,30,,
CGKS,長庚醫療財團法人高雄長庚紀念醫院,高長,04122949,,CGMH,true,false,醫學中心,S,南,,false,陳怡安,0081,南區業務一課,魏伶華,,15天收款,30,,
CGLN,長庚醫療財團法人林口長庚紀念醫院,林長,04122949,,CGMH,true,false,醫學中心,N,北,,false,紀怡安,0117,北區業務一課,楊斯閔,,30天收款,30,,
CGPN,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,聖保祿,43610306,,CGMH,true,false,區域醫院,N,北,,false,,0092,北區業務一課,楊斯閔,,30天收款,30,,
CGPS,高雄市立鳳山醫院,鳳山,04122949,,CGMH,true,false,地區醫院,S,南,,false,陳怡安,0081,南區業務一課,魏伶華,,60天收款,,830,
CGTN,長庚醫療財團法人台北長庚紀念醫院,北長,04122949,,CGMH,true,false,地區醫院,N,北,,false,紀怡安,0087,北區業務一課,楊斯閔,,30天收款,30,,
CGUN,新北市立土城醫院(委託長庚醫療財團法人興建經營),土城醫院,87341384,,CGMH,true,false,地區醫院,N,北,,false,紀怡安,0155,北區業務一課,楊斯閔,,30天收款,30,,
CGYN,長庚醫療財團法人桃園長庚紀念醫院,桃長,04122949,,CGMH,true,false,地區醫院,N,北,,false,紀怡安,0117,北區業務一課,楊斯閔,,15天收款,30,,
CHAN,基督復臨安息日會醫療財團法人臺安醫院,台安,04076608,,CHR,true,false,地區醫院,N,北,,false,楊侑霖/劉翊宏,0105,北區業務一課,黃映晨,,90天收款,30,,
CHCM,彰化基督教醫療財團法人彰化基督教醫院,彰基,58813808,,CHR,true,false,醫學中心,M,中,,false,陳虹均/鄒婉萱(SCS),0017,中區業務一課,楊斯閔,,90天收款,30,,
