parent_code,primary_secretary_emp,co_secretary_emp
CACN,0168,
CAHN,0168,
CAXN,0168,
CBJS,0020,
CBLS,0020,
CBMS,0020,
CCCM,0020,
CCPM,0020,
CCTM,0020,
CCWM,0020,
CGCS,0011,
CGKN,0011,
CGKS,0020,
CGLN,0011,
CGPN,0011,
CGPS,0020,
CGTN,0011,
CGUN,0011,
CGYN,0011,
CHAN,0150,
CHCM,0011,
CHCS,0168,
CHEM,0011,
CHHM,0011,
CHKM,0011,
CHLM,0011,
CHME,0150,
CHMS,0168,
CHNM,0011,
CHPM,0168,
CHPS,0150,
CHSS,0168,
CHTE,0168,
CHUM,0011,
CHYM,0011,
CKDM,0011,
CKUS,0011,
CLFN,0150,
CLHN,0011,
CLJM,0150,
CLJS,0150,
CLME,0168,
CLMS,0150,
CLYN,0011,
CMAM,0168,
CMAS,0020,
CMBM,0150,
CMCM,0011,
CMFM,0011,
CMHN,0168,
CMTN,0011,
CMUM,0011,
EAHM,0011,
EDCS,0168,
EDDS,0168,
EDHS,0168,
KCDS,0020,
KCSS,0168,
KCUS,0168,
KMMS,0168,
KMUS,0020,
KTDM,0150,
KTGM,0150,
KTXM,0150,
LDHN,0168,
LGDM,0150,
LGYN,0150,
LOSP,0168,
LSHM,0150,
LSWM,0168,
MHBS,0168,
MHCM,0020,
MHCS,0168,
MHFM,0011,
MHHO,0150,
MHKN,0150,
MHKO,0150,
MHLN,0150,
MHMN,0168,
MHNM,0168,
MHPO,0150,
MHPS,0168,
MHSS,0150,
MHTM,0011,
MHTN,0168,
MHTS,0020,
MHUN,0168,
MHXS,0020,
MHYS,0168,
MMDN,0020,0150
MMSN,0011,
MMTE,0020,0150
MMTN,0150,
MSCN,0011,
MSGN,0011,
MSSN,0011,
NTCN,0020,
NTEN,0011,
NTHN,0011,
NTNN,0011,
NTUN,0020,0150
NTYM,0011,
S-ATS,0168,
S-CCN,0150,
S-CHN,0168,
S-CJN,0011,
S-COS,0011,
S-CSM,0011,
S-CYS,0168,
S-DCN,0150,
S-ECN,0020,
S-FEN,0020,
S-FLS,0150,
S-FYS,0168,
S-GDS,0150,
S-HDN,0150,
S-JDM,0011,
S-JJS,0168,
S-KGS,0168,
S-KNN,0011,
S-MES,0168,
S-NMS,0150,
S-NTN,0011,
S-PAE,0168,
S-PCS,0168,
S-SKN,0150,
S-SPS,0168,
S-STN,0150,
S-TYN,0150,
S-WGN,0150,
S-YGM,0011,
S-YMN,0168,
S-YMS,0150,
S-YRS,0168,
S-YSN,0020,
S-YUS,0168,
SCCM,0011,
SCKS,0150,
SCMM,0011,
SCSS,0168,
SCTS,0168,
TCDS,0020,
TCGN,0011,
TCHE,0020,0150
TCTM,0011,
TCTN,0168,
TCYE,0150,
THCN,0168,
THHN,0168,
THRN,0168,
THYN,0168,
THZN,0168,
TMHN,0168,
TMSN,0011,
TMUN,0020,
TMWN,0168,
TNYN,0011,
TSGN,0150,
TSGS,0150,
TSHE,0150,
TSHN,0020,
TSKN,0011,
TSKS,0150,
TSPO,0150,
TSSN,0150,
TSTM,0011,
TSYN,0020,
TSZS,0168,
TTWM,0011,
UHKM,0168,
UTCE,0150,
UTMN,0020,
VGCS,0011,
VGHN,0020,
VGKS,0020,
VGPM,0168,
VGPS,0168,
VGTM,0011,
VGTN,0168,0020
VGTS,0020,
VGYN,0020,
VT01N,0020,
